Date,Open,High,Low,Close,Volume,Adj Close
1994/12/29,39.25,39.875001,39.125001,39.5,30335200,1.29869
1994/12/28,39.125001,39.25,38.250001,39.125001,22290800,1.286361
1994/12/27,39.25,39.749999,38.874999,39.125001,20479200,1.286361
1994/12/23,38.5,39.375,38.5,38.874999,23472400,1.278141
1994/12/22,38.5,38.874999,38.250001,38.625,33269600,1.269921
1994/12/21,37.874999,38.5,37.5,38.375,39359600,1.261702
1994/12/20,39.125001,39.25,38.375,38.5,43786400,1.265812
1994/12/19,37.250001,39.375,37.250001,39.125001,83204800,1.286361
1994/12/16,37.250001,37.75,36.75,37.250001,44945600,1.224714
1994/12/15,37.999999,38.375,36.875,37.124999,56898800,1.220604
1994/12/14,36.500001,38.125001,36.500001,37.874999,77856800,1.245263
1994/12/13,36.625,36.937501,36.249999,36.375001,29800400,1.195946
1994/12/12,36.375001,36.75,35.500001,36.500001,56019600,1.200055
1994/12/9,35.875,36.375001,34.750001,36.249999,65181200,1.191836
1994/12/8,36.875,36.999999,35.75,35.875,42464800,1.179506
1994/12/7,37.5,37.812501,36.062501,36.625,34325200,1.204165
1994/12/6,36.999999,38.375,36.875,37.562499,59522400,1.234988
1994/12/5,36.500001,37.375001,36.124999,37.1875,45068800,1.222659
1994/12/2,36.500001,36.75,35.625001,36.562499,43064000,1.20211
1994/12/1,36.999999,37.625,36,36.1875,77330400,1.189781
1994/11/30,38.375,39.375,36.999999,37.250001,78008000,1.224714
1994/11/29,37.999999,38.5,37.75,38.250001,36033200,1.257592
1994/11/28,37.625,38.250001,37.3125,37.812501,34669600,1.243208
1994/11/25,36.875,37.75,36.75,37.75,21056000,1.241153
1994/11/23,36.999999,37.874999,36.375001,36.875,81953200,1.212385
1994/11/22,37.75,39.125001,37.250001,37.375001,56084000,1.228824
1994/11/21,40.000001,40.25,37.999999,38.125001,50649200,1.253482
1994/11/18,40.000001,40.499999,39.624999,40.000001,36758400,1.315129
1994/11/17,40.875001,41,39.875001,40.000001,37609600,1.31118
1994/11/16,40.750001,41.5625,40.624999,40.937499,46849600,1.34191
1994/11/15,42.500001,43,41.25,41.374999,41904800,1.356251
1994/11/14,41.25,42.75,41.25,42.500001,34907600,1.393128
1994/11/11,41.25,41.499999,41,41.125,15568000,1.348057
1994/11/10,41.750001,41.875,41,41.312501,38245200,1.354203
1994/11/9,42.75,43,41,41.625001,101584000,1.364446
1994/11/8,40.624999,42.625001,40.25,42.249999,87242400,1.384933
1994/11/7,40.375,41.25,40.125,40.750001,28260400,1.335764
1994/11/4,41.499999,41.625001,40.000001,40.375,48011600,1.323472
1994/11/3,41.750001,42,41,41.499999,27630400,1.360349
1994/11/2,43.124999,43.249999,41.374999,41.374999,54686800,1.356251
1994/11/1,42.875,43.4843,42.374999,43.124999,54524400,1.413616
1994/10/31,42,43.375001,41.499999,43.1875,88975600,1.415664
1994/10/28,42.374999,42.875,41.750001,42.125,68331200,1.380836
1994/10/27,43.249999,43.75,42.500001,42.75,39852400,1.401323
1994/10/26,42.625001,43.2656,42.625001,43.249999,49193200,1.417713
1994/10/25,41.625001,42.625001,41.499999,42.625001,75370400,1.397226
1994/10/24,42.75,43.124999,41.875,42.249999,51125200,1.384933
1994/10/21,40.750001,42.75,40.750001,42.625001,80676400,1.397226
1994/10/20,41.25,41.812499,40.499999,41,54535600,1.343959
1994/10/19,41,42.125,41,41.25,87771600,1.352154
1994/10/18,40.624999,41.625001,40.499999,41.25,117171600,1.352154
1994/10/17,40.875001,41.499999,38.874999,39.749999,75997600,1.302985
